name,hex,rgb,cmyk,description
Orchid,#DA70D6,"(218, 112, 214)","(0, 49, 2, 15)",['Orchid is a medium purplish pink color reminiscent of the pinkish purple flowers of the same name. It is darker in hue than mauve.']
Magenta,#FF00FF,"(255, 0, 255)","(0, 100, 0, 0)",['Magenta is a dark but bright pink with a purplish tone. Magenta can also be described as a brighter shade of orchid.']
Hot pink,#FF69B4,"(255, 105, 180)","(0, 59, 29, 0)","['Hot pink is a warm, bright medium pink that might be compared to a darker shade of bubblegum pink.']"
French pink,#F64A8A,"(246, 74, 138)","(0, 70, 44, 4)","['French pink is a light to medium color of pink with warm, bright overtones. It’s similar to, but lighter in shade than cherry pink.']"
Strawberry,#E8888A,"(232, 136, 138)","(0, 41, 41, 9)",['Strawberry is a light to medium shade of pink with red undertones. It is similar in color to an under ripe strawberry.']
Persian pink,#F77FBE,"(247, 127, 190)","(0, 49, 23, 3)","['Persian pink is a medium, soft shade of pink with similarities to orchid and French pink.']"
New York pink,#DD8374,"(221, 131, 116)","(0, 41, 48, 13)","['New York pink is a warm, medium pink that resembles a darker version of strawberry.']"
Indian red,#CD5C5C,"(205, 92, 92)","(0, 55, 55, 20)","['Indian red is a medium to dark but muted shade of pink that can also be classified as a red. With tones of mauve and coral, Indian red coordinates with both warm and cool colors.']"
Munsell red,#F2003C,"(242, 0, 60)","(0, 100, 75, 5)","['Munsell red is another pink you’ll find in the red family. With a rich, saturated bright hue, Munsell red resembles the color of a pink Gerbera daisy.']"
Cardinal,#C41E3A,"(196, 30, 58)","(0, 85, 70, 23)","['Cardinal is a deep, reddish pink shade that can be compared to dark pink or neon pink. It can also be classified among the reds.']"
Crayola red,#EE204D,"(238, 32, 77)","(0, 87, 68, 7)","['Crayola red is a medium to dark pink that is bright and rich in tone. Although named as a red, it is comparable to bright pink, dark pink or neon pink.']"
Crimson,#DC143C,"(220, 20, 60)","(0, 91, 73, 14)","['Although the name suggests a red, this particular representation of crimson is like a deep, saturated dark pink.']"
Ruby,#E0115F,"(224, 17, 95)","(0, 92, 58, 12)",['Ruby is a medium darkish pink shade that is brighter than dark pink but not as warm in tone as neon. This version of the color ruby is more pink and less purplish in tone as a ruby gemstone.']
Redwood,#A45A52,"(164, 90, 82)","(0, 45, 50, 36)","['Redwood is a dusky, brownish pink with lilac undertones. Redwood could be compared to a darker, browner shade of Indian red.']"
Rusty red,#DA2C43,"(218, 44, 67)","(0, 80, 69, 15)","['Rusty red, contrary to the name, is in fact a warm, dark pink hue. Rusty red has some coral-like undertones and can be compared to a warmer shade of dark pink.']"
Amaranth,#E52B50,"(229, 43, 80)","(0, 81, 65, 10)","['Amaranth is a rich, medium to dark pink. This shade of pink is similar to dark pink but with some warmer overtones.']"
Bright Maroon,#C32148,"(195, 33, 72)","(0, 83, 63, 24)","['Bright maroon is a dark, reddish pink color with some hints of warm purple. Similar to a dark magenta, bright maroon is also sometimes classified as a red.']"
Burnt Sienna,#E97451,"(233, 116, 81)","(0, 50, 65, 9)","['Burnt Sienna is often classified as an orange, but this version of the color very much represents a warm, salmon-like pink hue with hints of tangerine.']"
Candy pink,#E4717A,"(228, 113, 122)","(0, 50, 46, 11)",['Candy pink is a deep pink with rich undertones of red and hints of purple. It can be compared to a soft dark pink.']
Cherry pink,#DE3163,"(222, 49, 99)","(0, 78, 55, 13)","['Cherry pink is a medium, bright pink with a warm, reddish hue. This color is lighter and pinker than the cherry fruit, but it carries some of the same tones.']"
Chestnut,#CD5C5C,"(205, 92, 92)","(0, 55, 55, 20)","['Chestnut is a warm but dusky shade of medium to dark pink with brownish undertones. Far pinker than a real chestnut, this shade is similar to a darker, dustier version of dark pink.']"
Dark coral,#CD5B45,"(205, 91, 69)","(0, 56, 66, 20)","['Dark coral is a shade of pink that is similar to coral, but, as the name suggests, is darker in hue. Dark coral can also be compared to a warmer version of chestnut.']"
Dark pastel red,#C23B22,"(194, 59, 34)","(0, 70, 82, 24)","['Dark pastel red is a dark, orangey-red pink shade that can also be classified as a red. Dark pastel red has a similarity to tomato red, but with distinctly dusky pink undertones.']"
Dark Terra cotta,#CC4E5C,"(204, 78, 92)","(0, 62, 55, 20)","['Dark terra cotta is a medium, dusty pink similar in tone to traditional terra cotta flower pots, but with a more pinkish hue than the orange pots usually associated with the name.']"
Dark salmon,#E9967A,"(233, 150, 122)","(0, 36, 48, 9)","['Dark salmon is a peachy, pink shade that is warmer than salmon. This darker shade of salmon could also fall into the orange family.']"
Deep Pink,#FF1493,"(255, 20, 147)","(0, 92, 42, 0)","['This color’s name might make you think of a dark, calm pink, but Deep Pink looks a lot like an intense near-neon. This color pops against black, making it an excellent choice for accents on athletic wear, flyers, or any application where you want to get someone’s attention.']"
Rose Quartz,#AA98A9,"(170, 152, 169)","(0, 11, 1, 33)","['If you’re looking for a quiet, cool shade of pink that’s very close to purple, Rose Quartz is a great shade. It’s named after a common stone that usually has a grayish-pink appearance. As you can see from its RGB value, Rose Quartz is more blue than most shades of pink.']"
Wild Strawberry,#FF43A4,"(255, 67, 164)","(0, 74, 36, 0)","['Though it’s much more pink than the red glow of a strawberry, Wild Strawberry has a bright and cheerful spirit that can add life to any project. It looks great in very bright color palettes, but it can also add a burst of color to more neutral shades.']"
Razzmatazz,#E3256B,"(227, 37, 107)","(0, 84, 53, 11)","['This warm, magenta-rich pink can add some energy to any project. As a variant of raspberry pink, it’s especially well-suited to summer-inspired designs. As you can see from the CMYK values, it has larger amounts of yellow and magenta than many pink shades.']"
Rose Taupe,#905D5D,"(144, 93, 93)","(0, 35, 35, 44)","['Sometimes you need a shade of pink that effectively works as a neutral. And as the name suggests, Rose Taupe sits right between a rosy pink and a sandy taupe. It works well alongside other pale neutrals, and it also makes a stately border on stationery, cards, and invitations.']"
Rubine Red,#D10056,"(209, 0, 86)","(0, 100, 59, 18)","['Rubine means “ruby,” and this pink shade certainly has the presence of a gemstone. While this color is described as being red, it’s more of a magenta-heavy pink. It’s a great choice if you want a reddish pink that’s bright without being neon.']"
Hollywood Cerise,#F400A1,"(244, 0, 161)","(0, 100, 34, 4)","['This dreamily-named color is similar to fuchsia. Its bright, summery character makes it a good choice for advertising or any other application where grabbing attention is important. As you can see from both the RGB and CMYK values, it has a good bit of both blue and magenta. That gives it excellent balance.']"
Mexican Pink,#E4007C,"(228, 0, 124)","(0, 100, 46, 11)","['This striking, cheerful color holds significant cultural importance in Mexico. Citizens consider it to be a symbol of the country’s charisma, and taxicabs in Mexico City are even painted in Mexican Pink and white. Famed Mexican architect Luis Barragan often incorporates the color into his projects as well.']"
Steel Pink,#CC3366,"(204, 51, 102)","(0, 75, 50, 20)",['This interestingly named color has a somewhat metallic look about it. It’s one of the pink shades named and used by Crayola. It first appeared in a set of colored pencils. Steel Pink is a great choice if you like magenta but would prefer something that’s a little darker and more subdued.']
Rose Gold,#B76E79,"(183, 110, 121)","(0, 40, 34, 28)",['This dusty shade of pink does get somewhat close to the color of rose gold used in jewelry. It looks especially nice beside ivory and pale gray.']
Rose Bonbon,#F9429E,"(249, 66, 158)","(0, 73, 37, 2)","['Rose Bonbon is another shade of pink that has a relatively high proportion of both yellow and magenta. There’s also a good bit of blue, so it’s a balanced shade that manages to be soft and bright at the same time. It’s a classic middle-of-the-road pink that can be useful for a wide range of projects.']"
Barbie Pink,#E0218A,"(224, 33, 138)","(0, 85, 38, 12)","['This cheerful, bright magenta is a color offered by Pantone. Its youthful charm makes it great for accenting children’s rooms or for use in children’s clothing. As you can see from the CMYK values, Barbie Pink is tempered by some amount of black.']"
Mulberry,#C54B8C,"(197, 75, 140)","(0, 62, 29, 23)","['If you’ve seen a mulberry bush, you probably know that actual mulberries are almost black in color. But this shade of pink is almost exactly the color that mulberry juice will stain your hands. It’s a great choice if you need a color that will remind you of summer without being overly bright.']"
